X,Y,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
0.34375,0.0,1.0,0.0,-1.0,1.71875,3.375,3.4375,1.71875,-13.125,-3.4375,29.21875
0.359375,0.0,1.0,0.0,-1.0,1.796875,3.4375,3.59375,1.796875,-13.3125,-3.59375,30.546875
0.375,0.0,1.0,0.0,-1.0,1.875,3.5,3.75,1.875,-13.5,-3.75,31.875
0.390625,0.0,1.0,0.0,-1.0,1.953125,3.5625,3.90625,1.953125,-13.6875,-3.90625,33.203125
0.40625,0.0,1.0,0.0,-1.0,2.03125,3.625,4.0625,2.03125,-13.875,-4.0625,34.53125
0.421875,0.0,1.0,0.0,-1.0,2.109375,3.6875,4.21875,2.109375,-14.0625,-4.21875,35.859375
0.4375,0.0,1.0,0.0,-1.0,2.1875,3.75,4.375,2.1875,-14.25,-4.375,37.1875
0.453125,0.0,1.0,0.0,-1.0,2.265625,3.8125,4.53125,2.265625,-14.4375,-4.53125,38.515625
0.46875,0.0,1.0,0.0,-1.0,2.34375,3.875,4.6875,2.34375,-14.625,-4.6875,39.84375
0.484375,0.0,1.0,0.0,-1.0,2.421875,3.9375,4.84375,2.421875,-14.8125,-4.84375,41.171875
0.5,0.0,1.0,,-1.0,2.5,,5.0,2.5,-15.0,-5.0,42.5
0.515625,0.0,1.0,0.0,-1.0,2.578125,4.0625,5.15625,2.578125,-15.1875,-5.15625,43.828125
0.53125,0.0,1.0,0.0,-1.0,2.65625,4.125,5.3125,2.65625,-15.375,-5.3125,45.15625
0.546875,0.0,1.0,0.0,-1.0,2.734375,4.1875,5.46875,2.734375,-15.5625,-5.46875,46.484375
0.5625,0.0,,0.0,-1.0,,4.25,5.625,2.8125,-15.75,-5.625,47.8125
0.578125,0.0,,0.0,-1.0,,4.3125,5.78125,2.890625,-15.9375,-5.78125,49.140625
0.59375,0.0,,0.0,-1.0,,4.375,5.9375,2.96875,-16.125,-5.9375,50.46875
0.609375,0.0,,0.0,-1.0,,4.4375,6.09375,3.046875,-16.3125,-6.09375,51.796875
0.625,0.0,,0.0,-1.0,,4.5,6.25,3.125,-16.5,-6.25,53.125
0.640625,0.0,,0.0,-1.0,,4.5625,6.40625,3.203125,-16.6875,-6.40625,54.453125
0.65625,0.0,-1.0,0.0,-1.0,0.0,4.625,6.5625,3.28125,-16.875,-6.5625,55.78125
0.671875,0.0,-1.0,0.0,-1.0,0.0,4.6875,6.71875,3.359375,-17.0625,-6.71875,57.109375
0.6875,0.0,-1.0,0.0,-1.0,0.0,4.75,6.875,3.4375,-17.25,-6.875,58.4375
0.703125,0.0,-1.0,0.0,-1.0,0.0,4.8125,7.03125,3.515625,-17.4375,-7.03125,59.765625
0.71875,0.0,-1.0,0.0,-1.0,0.0,4.875,7.1875,3.59375,-17.625,-7.1875,61.09375
0.734375,0.0,-1.0,0.0,-1.0,0.0,4.9375,7.34375,3.671875,4.9375,-7.34375,62.421875
0.75,0.0,-1.0,0.0,-1.0,0.0,5.0,7.5,3.75,5.0,-7.5,63.75
0.765625,0.0,-1.0,0.0,-1.0,0.0,5.0625,7.65625,10.0,5.0625,-7.65625,65.078125
0.78125,0.0,-1.0,0.0,-1.0,0.0,5.125,7.8125,10.0,5.125,-7.8125,66.40625
0.796875,0.0,-1.0,0.0,-1.0,0.0,5.1875,7.96875,10.0,5.1875,-7.96875,67.734375
0.8125,0.0,-1.0,0.0,-1.0,0.0,5.25,8.125,10.0,5.25,-8.125,69.0625
0.828125,0.0,-1.0,0.0,-1.0,0.0,5.3125,8.28125,10.0,5.3125,-8.28125,70.390625
0.84375,0.0,-1.0,0.0,-1.0,0.0,5.375,8.4375,10.0,5.375,-8.4375,71.71875
0.859375,0.0,-1.0,0.0,-1.0,0.0,5.4375,8.59375,10.0,5.4375,-8.59375,73.046875
0.875,0.0,-1.0,0.0,-1.0,0.0,5.5,8.75,10.0,5.5,-8.75,74.375
0.890625,0.0,-1.0,0.0,-1.0,0.0,5.5625,8.90625,10.0,5.5625,-8.90625,75.703125
0.90625,0.0,-1.0,0.0,,0.0,5.625,,10.0,5.625,-9.0625,77.03125
0.921875,0.0,-1.0,0.0,,0.0,5.6875,,10.0,5.6875,-9.21875,78.359375
0.9375,0.0,-1.0,0.0,,0.0,5.75,,10.0,5.75,-9.375,79.6875
0.953125,0.0,-1.0,0.0,,0.0,5.8125,,10.0,5.8125,-9.53125,81.015625
0.96875,0.0,-1.0,0.0,,0.0,5.875,,10.0,5.875,-9.6875,82.34375
0.984375,0.0,-1.0,0.0,,0.0,5.9375,,10.0,5.9375,-9.84375,83.671875
1.0,0.0,-1.0,0.0,,0.0,6.0,,10.0,6.0,-10.0,85.0
0.0,0.015625,1.0,0.0,,0.15625,1.953125,,0.15625,1.953125,-0.03125,0.0
0.015625,0.015625,1.0,0.0,,0.234375,2.015625,,0.234375,2.015625,0.0515625,1.328125
0.03125,0.015625,1.0,0.0,,0.3125,2.078125,,0.3125,2.078125,-0.390625,2.65625
0.046875,0.015625,1.0,0.0,,0.390625,2.140625,,0.390625,2.140625,-0.546875,3.984375
0.0625,0.015625,1.0,0.0,,0.46875,2.203125,,0.46875,2.203125,-0.703125,5.3125
0.078125,0.015625,1.0,0.0,,0.546875,2.265625,,0.546875,2.265625,-0.859375,6.640625
0.09375,0.015625,1.0,0.0,,0.625,2.328125,,0.625,2.328125,-1.015625,7.96875
0.109375,0.015625,1.0,0.0,,0.703125,2.390625,,0.703125,2.390625,-1.171875,9.296875
0.125,0.015625,1.0,0.0,-1.0,0.78125,2.453125,1.171875,0.78125,2.453125,-1.328125,10.625
0.140625,0.015625,1.0,0.0,-1.0,0.859375,2.515625,1.328125,0.859375,2.515625,-1.484375,11.953125
0.15625,0.015625,1.0,0.0,-1.0,0.9375,2.578125,1.484375,0.9375,2.578125,-1.640625,13.28125
0.171875,0.015625,1.0,0.0,-1.0,1.015625,2.640625,1.640625,1.015625,2.640625,-1.796875,14.609375
0.1875,0.015625,1.0,0.0,-1.0,1.09375,2.703125,1.796875,1.09375,2.703125,-1.953125,15.9375
0.203125,0.015625,1.0,0.0,-1.0,1.171875,2.765625,1.953125,1.171875,2.765625,-2.109375,17.265625
0.21875,0.015625,1.0,0.0,-1.0,1.25,2.828125,2.109375,1.25,2.828125,-2.265625,18.59375
0.234375,0.015625,1.0,0.0,-1.0,1.328125,2.890625,2.265625,1.328125,2.890625,-2.421875,19.921875
0.25,0.015625,1.0,0.0,-1.0,1.40625,2.953125,2.421875,1.40625,-12.234375,-2.578125,21.25
0.265625,0.015625,1.0,0.0,-1.0,1.484375,3.015625,2.578125,1.484375,-12.421875,-2.734375,22.578125
0.28125,0.015625,1.0,0.0,-1.0,1.5625,3.078125,2.734375,1.5625,-12.609375,-2.890625,23.90625
0.296875,0.015625,1.0,0.0,-1.0,1.640625,3.140625,2.890625,1.640625,-12.796875,-3.046875,25.234375
0.3125,0.015625,1.0,0.0,-1.0,1.71875,3.203125,3.046875,1.71875,-12.984375,-3.203125,26.5625
0.328125,0.015625,1.0,0.0,-1.0,1.796875,3.265625,3.203125,1.796875,-13.171875,-3.359375,27.890625
0.34375,0.015625,1.0,0.0,-1.0,1.875,3.328125,3.359375,1.875,-13.359375,-3.515625,29.21875
0.359375,0.015625,1.0,0.0,-1.0,1.953125,3.390625,3.515625,1.953125,-13.546875,-3.671875,30.546875
0.375,0.015625,1.0,0.0,-1.0,2.03125,3.453125,3.671875,2.03125,-13.734375,-3.828125,31.875
0.390625,0.015625,1.0,,-1.0,2.109375,,3.828125,2.109375,-13.921875,-3.984375,33.203125
0.40625,0.015625,1.0,,-1.0,2.1875,,3.984375,2.1875,-14.109375,-4.140625,34.53125
0.421875,0.015625,1.0,,-1.0,2.265625,,4.140625,2.265625,-14.296875,-4.296875,35.859375
0.4375,0.015625,1.0,,-1.0,2.34375,,4.296875,2.34375,-14.484375,-4.453125,37.1875
0.453125,0.015625,1.0,,-1.0,2.421875,,4.453125,2.421875,-14.671875,-4.609375,38.515625
0.46875,0.015625,1.0,,-1.0,2.5,,4.609375,2.5,-14.859375,-4.765625,39.84375
0.484375,0.015625,1.0,,-1.0,2.578125,,4.765625,2.578125,-15.046875,-4.921875,41.171875
0.5,0.015625,1.0,,-1.0,2.65625,,4.921875,2.65625,-15.234375,-5.078125,42.5
0.515625,0.015625,1.0,,-1.0,2.734375,,5.078125,2.734375,-15.421875,-5.234375,43.828125
0.53125,0.015625,1.0,,-1.0,2.8125,,5.234375,2.8125,-15.609375,-5.390625,45.15625
0.546875,0.015625,1.0,,-1.0,2.890625,,5.390625,2.890625,-15.796875,-5.546875,46.484375
0.5625,0.015625,,,-1.0,,,5.546875,2.96875,-15.984375,-5.703125,47.8125
0.578125,0.015625,,,-1.0,,,5.703125,3.046875,-16.171875,-5.859375,49.140625
0.59375,0.015625,,,-1.0,,,5.859375,3.125,-16.359375,-6.015625,50.46875
0.609375,0.015625,,,-1.0,,,6.015625,3.203125,-16.546875,-6.171875,51.796875
0.625,0.015625,,0.0,-1.0,,4.453125,6.171875,3.28125,-16.734375,-6.328125,53.125
0.640625,0.015625,,0.0,-1.0,,4.515625,6.328125,3.359375,-16.921875,-6.484375,54.453125
0.65625,0.015625,-1.0,0.0,-1.0,0.078125,4.578125,6.484375,3.4375,-17.109375,-6.640625,55.78125
0.671875,0.015625,-1.0,0.0,-1.0,0.078125,4.640625,6.640625,3.515625,-17.296875,-6.796875,57.109375
0.6875,0.015625,-1.0,0.0,-1.0,0.078125,4.703125,6.796875,3.59375,-17.484375,-6.953125,58.4375
0.703125,0.015625,-1.0,0.0,-1.0,0.078125,4.765625,6.953125,3.671875,-17.671875,-7.109375,59.765625
0.71875,0.015625,-1.0,0.0,-1.0,0.078125,4.828125,7.109375,3.75,-17.859375,-7.265625,61.09375
0.734375,0.015625,-1.0,0.0,-1.0,0.078125,4.890625,7.265625,3.828125,-18.046875,-7.421875,62.421875
0.75,0.015625,-1.0,0.0,-1.0,0.078125,4.953125,7.421875,10.078125,-18.234375,-7.578125,63.75
0.765625,0.015625,-1.0,0.0,-1.0,0.078125,5.015625,7.578125,10.078125,5.015625,-7.734375,65.078125
0.78125,0.015625,-1.0,0.0,-1.0,0.078125,5.078125,7.734375,10.078125,5.078125,-7.890625,66.40625
0.796875,0.015625,-1.0,0.0,-1.0,0.078125,5.140625,7.890625,10.078125,5.140625,-8.046875,67.734375
0.8125,0.015625,-1.0,0.0,-1.0,0.078125,5.203125,8.046875,10.078125,5.203125,-8.203125,69.0625
0.828125,0.015625,-1.0,0.0,-1.0,0.078125,5.265625,8.203125,10.078125,5.265625,-8.359375,70.390625
0.84375,0.015625,-1.0,0.0,-1.0,0.078125,5.328125,8.359375,10.078125,5.328125,-8.515625,71.71875
0.859375,0.015625,-1.0,0.0,-1.0,0.078125,5.390625,8.515625,10.078125,5.390625,-8.671875,73.046875
0.875,0.015625,-1.0,0.0,-1.0,0.078125,5.453125,8.671875,10.078125,5.453125,-8.828125,74.375
0.890625,0.015625,-1.0,0.0,,0.078125,5.515625,,10.078125,5.515625,-8.984375,75.703125
0.90625,0.015625,-1.0,0.0,,0.078125,5.578125,,10.078125,5.578125,-9.140625,77.03125
0.921875,0.015625,-1.0,0.0,,0.078125,5.640625,,10.078125,5.640625,-9.296875,78.359375
0.9375,0.015625,-1.0,0.0,,0.078125,5.703125,,10.078125,5.703125,-9.453125,79.6875
0.953125,0.015625,-1.0,0.0,,0.078125,5.765625,,10.078125,5.765625,-9.609375,81.015625
0.96875,0.015625,-1.0,0.0,,0.078125,5.828125,,10.078125,5.828125,-9.765625,82.34375
0.984375,0.015625,-1.0,0.0,,0.078125,5.890625,,10.078125,5.890625,-9.921875,83.671875
1.0,0.015625,-1.0,0.0,,0.078125,5.953125,,10.078125,5.953125,0.15625,85.0
0.0,0.03125,1.0,0.0,,0.3125,1.90625,,0.3125,1.90625,-0.0625,0.0
0.015625,0.03125,1.0,0.0,,0.390625,1.96875,,0.390625,1.96875,0.020312499999999997,1.328125
0.03125,0.03125,1.0,0.0,,0.46875,2.03125,,0.46875,2.03125,0.103125,2.65625
0.046875,0.03125,1.0,0.0,,0.546875,2.09375,,0.546875,2.09375,-0.625,3.984375
0.0625,0.03125,1.0,0.0,,0.625,2.15625,,0.625,2.15625,-0.78125,5.3125
0.078125,0.03125,1.0,0.0,,0.703125,2.21875,,0.703125,2.21875,-0.9375,6.640625
0.09375,0.03125,1.0,0.0,,0.78125,2.28125,,0.78125,2.28125,-1.09375,7.96875
0.109375,0.03125,1.0,0.0,,0.859375,2.34375,,0.859375,2.34375,-1.25,9.296875
0.125,0.03125,1.0,0.0,,0.9375,2.40625,,0.9375,2.40625,-1.40625,10.625
0.140625,0.03125,1.0,0.0,-1.0,1.015625,2.46875,1.25,1.015625,2.46875,-1.5625,11.953125
0.15625,0.03125,1.0,0.0,-1.0,1.09375,2.53125,1.40625,1.09375,2.53125,-1.71875,13.28125
0.171875,0.03125,1.0,0.0,-1.0,1.171875,2.59375,1.5625,1.171875,2.59375,-1.875,14.609375
0.1875,0.03125,1.0,0.0,-1.0,1.25,2.65625,1.71875,1.25,2.65625,-2.03125,15.9375
0.203125,0.03125,1.0,0.0,-1.0,1.328125,2.71875,1.875,1.328125,2.71875,-2.1875,17.265625
0.21875,0.03125,1.0,0.0,-1.0,1.40625,2.78125,2.03125,1.40625,-12.09375,-2.34375,18.59375
0.234375,0.03125,1.0,0.0,-1.0,1.484375,2.84375,2.1875,1.484375,-12.28125,-2.5,19.921875
0.25,0.03125,1.0,0.0,-1.0,1.5625,2.90625,2.34375,1.5625,-12.46875,-2.65625,21.25
0.265625,0.03125,1.0,0.0,-1.0,1.640625,2.96875,2.5,1.640625,-12.65625,-2.8125,22.578125
0.28125,0.03125,1.0,0.0,-1.0,1.71875,3.03125,2.65625,1.71875,-12.84375,-2.96875,23.90625
0.296875,0.03125,1.0,0.0,-1.0,1.796875,3.09375,2.8125,1.796875,-13.03125,-3.125,25.234375
0.3125,0.03125,1.0,0.0,-1.0,1.875,3.15625,2.96875,1.875,-13.21875,-3.28125,26.5625
0.328125,0.03125,1.0,,-1.0,1.953125,,3.125,1.953125,-13.40625,-3.4375,27.890625
0.34375,0.03125,1.0,,-1.0,2.03125,,3.28125,2.03125,-13.59375,-3.59375,29.21875
0.359375,0.03125,1.0,,-1.0,2.109375,,3.4375,2.109375,-13.78125,-3.75,30.546875
0.375,0.03125,1.0,,-1.0,2.1875,,3.59375,2.1875,-13.96875,-3.90625,31.875
0.390625,0.03125,1.0,,-1.0,2.265625,,3.75,2.265625,-14.15625,-4.0625,33.203125
0.40625,0.03125,1.0,,-1.0,2.34375,,3.90625,2.34375,-14.34375,-4.21875,34.53125
0.421875,0.03125,1.0,,-1.0,2.421875,,4.0625,2.421875,-14.53125,-4.375,35.859375
0.4375,0.03125,1.0,,-1.0,2.5,,4.21875,2.5,-14.71875,-4.53125,37.1875
0.453125,0.03125,1.0,,-1.0,2.578125,,4.375,2.578125,-14.90625,-4.6875,38.515625
0.46875,0.03125,1.0,,-1.0,2.65625,,4.53125,2.65625,-15.09375,-4.84375,39.84375
0.484375,0.03125,1.0,,-1.0,2.734375,,4.6875,2.734375,-15.28125,-5.0,41.171875
0.5,0.03125,1.0,,-1.0,2.8125,,4.84375,2.8125,-15.46875,-5.15625,42.5
0.515625,0.03125,1.0,,-1.0,2.890625,,5.0,2.890625,-15.65625,-5.3125,43.828125
0.53125,0.03125,1.0,,-1.0,2.96875,,5.15625,2.96875,-15.84375,-5.46875,45.15625
0.546875,0.03125,1.0,,-1.0,3.046875,,5.3125,3.046875,-16.03125,-5.625,46.484375
0.5625,0.03125,,,-1.0,,,5.46875,3.125,-16.21875,-5.78125,47.8125
0.578125,0.03125,,,-1.0,,,5.625,3.203125,-16.40625,-5.9375,49.140625
0.59375,0.03125,,,-1.0,,,5.78125,3.28125,-16.59375,-6.09375,50.46875
0.609375,0.03125,,,-1.0,,,5.9375,3.359375,-16.78125,-6.25,51.796875
0.625,0.03125,,,-1.0,,,6.09375,3.4375,-16.96875,-6.40625,53.125
0.640625,0.03125,,,-1.0,,,6.25,3.515625,-17.15625,-6.5625,54.453125
0.65625,0.03125,-1.0,,-1.0,0.15625,,6.40625,3.59375,-17.34375,-6.71875,55.78125
0.671875,0.03125,-1.0,,-1.0,0.15625,,6.5625,3.671875,-17.53125,-6.875,57.109375
0.6875,0.03125,-1.0,0.0,-1.0,0.15625,4.65625,6.71875,3.75,-17.71875,-7.03125,58.4375
0.703125,0.03125,-1.0,0.0,-1.0,0.15625,4.71875,6.875,3.828125,-17.90625,-7.1875,59.765625
0.71875,0.03125,-1.0,0.0,-1.0,0.15625,4.78125,7.03125,3.90625,-18.09375,-7.34375,61.09375
0.734375,0.03125,-1.0,0.0,-1.0,0.15625,4.84375,7.1875,3.984375,-18.28125,-7.5,62.421875
0.75,0.03125,-1.0,0.0,-1.0,0.15625,4.90625,7.34375,10.15625,-18.46875,-7.65625,63.75
0.765625,0.03125,-1.0,0.0,-1.0,0.15625,4.96875,7.5,10.15625,-18.65625,-7.8125,65.078125
0.78125,0.03125,-1.0,0.0,-1.0,0.15625,5.03125,7.65625,10.15625,-18.84375,-7.96875,66.40625
0.796875,0.03125,-1.0,0.0,-1.0,0.15625,5.09375,7.8125,10.15625,5.09375,-8.125,67.734375
0.8125,0.03125,-1.0,0.0,-1.0,0.15625,5.15625,7.96875,10.15625,5.15625,-8.28125,69.0625
0.828125,0.03125,-1.0,0.0,-1.0,0.15625,5.21875,8.125,10.15625,5.21875,-8.4375,70.390625
0.84375,0.03125,-1.0,0.0,-1.0,0.15625,5.28125,8.28125,10.15625,5.28125,-8.59375,71.71875
0.859375,0.03125,-1.0,0.0,-1.0,0.15625,5.34375,8.4375,10.15625,5.34375,-8.75,73.046875
0.875,0.03125,-1.0,0.0,,0.15625,5.40625,,10.15625,5.40625,-8.90625,74.375
0.890625,0.03125,-1.0,0.0,,0.15625,5.46875,,10.15625,5.46875,-9.0625,75.703125
0.90625,0.03125,-1.0,0.0,,0.15625,5.53125,,10.15625,5.53125,-9.21875,77.03125
0.921875,0.03125,-1.0,0.0,,0.15625,5.59375,,10.15625,5.59375,-9.375,78.359375
0.9375,0.03125,-1.0,0.0,,0.15625,5.65625,,10.15625,5.65625,-9.53125,79.6875
0.953125,0.03125,-1.0,0.0,,0.15625,5.71875,,10.15625,5.71875,-9.6875,81.015625
0.96875,0.03125,-1.0,0.0,,0.15625,5.78125,,10.15625,5.78125,-9.84375,82.34375
0.984375,0.03125,-1.0,0.0,,0.15625,5.84375,,10.15625,5.84375,0.234375,83.671875
1.0,0.03125,-1.0,0.0,,0.15625,5.90625,,10.15625,5.90625,0.3125,85.0
0.0,0.046875,1.0,0.0,,0.46875,1.859375,,0.46875,1.859375,-0.09375,0.0
0.015625,0.046875,1.0,0.0,,0.546875,1.921875,,0.546875,1.921875,-0.010937500000000003,1.328125
0.03125,0.046875,1.0,0.0,,0.625,1.984375,,0.625,1.984375,0.071875,2.65625
0.046875,0.046875,1.0,0.0,,0.703125,2.046875,,0.703125,2.046875,0.15468749999999998,3.984375
0.0625,0.046875,1.0,0.0,,0.78125,2.109375,,0.78125,2.109375,-0.859375,5.3125
0.078125,0.046875,1.0,0.0,,0.859375,2.171875,,0.859375,2.171875,-1.015625,6.640625
0.09375,0.046875,1.0,0.0,,0.9375,2.234375,,0.9375,2.234375,-1.171875,7.96875
0.109375,0.046875,1.0,0.0,,1.015625,2.296875,,1.015625,2.296875,-1.328125,9.296875
0.125,0.046875,1.0,0.0,,1.09375,2.359375,,1.09375,2.359375,-1.484375,10.625
0.140625,0.046875,1.0,0.0,,1.171875,2.421875,,1.171875,2.421875,-1.640625,11.953125
0.15625,0.046875,1.0,0.0,-1.0,1.25,2.484375,1.328125,1.25,2.484375,-1.796875,13.28125
0.171875,0.046875,1.0,0.0,-1.0,1.328125,2.546875,1.484375,1.328125,2.546875,-1.953125,14.609375
0.1875,0.046875,1.0,0.0,-1.0,1.40625,2.609375,1.640625,1.40625,2.609375,-2.109375,15.9375
0.203125,0.046875,1.0,0.0,-1.0,1.484375,2.671875,1.796875,1.484375,-12.140625,-2.265625,17.265625
0.21875,0.046875,1.0,0.0,-1.0,1.5625,2.734375,1.953125,1.5625,-12.328125,-2.421875,18.59375
0.234375,0.046875,1.0,0.0,-1.0,1.640625,2.796875,2.109375,1.640625,-12.515625,-2.578125,19.921875
0.25,0.046875,1.0,0.0,-1.0,1.71875,2.859375,2.265625,1.71875,-12.703125,-2.734375,21.25
0.265625,0.046875,1.0,0.0,-1.0,1.796875,2.921875,2.421875,1.796875,-12.890625,-2.890625,22.578125
0.28125,0.046875,1.0,0.0,-1.0,1.875,2.984375,2.578125,1.875,-13.078125,-3.046875,23.90625
0.296875,0.046875,1.0,,-1.0,1.953125,,2.734375,1.953125,-13.265625,-3.203125,25.234375
0.3125,0.046875,1.0,,-1.0,2.03125,,2.890625,2.03125,-13.453125,-3.359375,26.5625
0.328125,0.046875,1.0,,-1.0,2.109375,,3.046875,2.109375,-13.640625,-3.515625,27.890625
0.34375,0.046875,1.0,,-1.0,2.1875,,3.203125,2.1875,-13.828125,-3.671875,29.21875
0.359375,0.046875,1.0,,-1.0,2.265625,,3.359375,2.265625,-14.015625,-3.828125,30.546875
0.375,0.046875,1.0,,-1.0,2.34375,,3.515625,2.34375,-14.203125,-3.984375,31.875
0.390625,0.046875,1.0,,-1.0,2.421875,,3.671875,2.421875,-14.390625,-4.140625,33.203125
0.40625,0.046875,1.0,,-1.0,2.5,,3.828125,2.5,-14.578125,-4.296875,34.53125
0.421875,0.046875,1.0,,-1.0,2.578125,,3.984375,2.578125,-14.765625,-4.453125,35.859375
0.4375,0.046875,1.0,,-1.0,2.65625,,4.140625,2.65625,-14.953125,-4.609375,37.1875
0.453125,0.046875,1.0,,-1.0,2.734375,,4.296875,2.734375,-15.140625,-4.765625,38.515625
0.46875,0.046875,1.0,,-1.0,2.8125,,4.453125,2.8125,-15.328125,-4.921875,39.84375
0.484375,0.046875,1.0,,-1.0,2.890625,,4.609375,2.890625,-15.515625,-5.078125,41.171875
0.5,0.046875,1.0,,-1.0,2.96875,,4.765625,2.96875,-15.703125,-5.234375,42.5
0.515625,0.046875,1.0,,-1.0,3.046875,,4.921875,3.046875,-15.890625,-5.390625,43.828125
0.53125,0.046875,1.0,,-1.0,3.125,,5.078125,3.125,-16.078125,-5.546875,45.15625
0.546875,0.046875,1.0,,-1.0,3.203125,,5.234375,3.203125,-16.265625,-5.703125,46.484375
0.5625,0.046875,,,-1.0,,,5.390625,3.28125,-16.453125,-5.859375,47.8125
0.578125,0.046875,,,-1.0,,,5.546875,3.359375,-16.640625,-6.015625,49.140625
0.59375,0.046875,,,-1.0,,,5.703125,3.4375,-16.828125,-6.171875,50.46875
0.609375,0.046875,,,-1.0,,,5.859375,3.515625,-17.015625,-6.328125,51.796875
0.625,0.046875,,,-1.0,,,6.015625,3.59375,-17.203125,-6.484375,53.125
0.640625,0.046875,,,-1.0,,,6.171875,3.671875,-17.390625,-6.640625,54.453125
0.65625,0.046875,-1.0,,-1.0,0.234375,,6.328125,3.75,-17.578125,-6.796875,55.78125
0.671875,0.046875,-1.0,,-1.0,0.234375,,6.484375,3.828125,-17.765625,-6.953125,57.109375
0.6875,0.046875,-1.0,,-1.0,0.234375,,6.640625,3.90625,-17.953125,-7.109375,58.4375
0.703125,0.046875,-1.0,,-1.0,0.234375,,6.796875,3.984375,-18.140625,-7.265625,59.765625
0.71875,0.046875,-1.0,0.0,-1.0,0.234375,4.734375,6.953125,4.0625,-18.328125,-7.421875,61.09375
0.734375,0.046875,-1.0,0.0,-1.0,0.234375,4.796875,7.109375,4.140625,-18.515625,-7.578125,62.421875
0.75,0.046875,-1.0,0.0,-1.0,0.234375,4.859375,7.265625,10.234375,-18.703125,-7.734375,63.75
0.765625,0.046875,-1.0,0.0,-1.0,0.234375,4.921875,7.421875,10.234375,-18.890625,-7.890625,65.078125
0.78125,0.046875,-1.0,0.0,-1.0,0.234375,4.984375,7.578125,10.234375,-19.078125,-8.046875,66.40625
0.796875,0.046875,-1.0,0.0,-1.0,0.234375,5.046875,7.734375,10.234375,-19.265625,-8.203125,67.734375
0.8125,0.046875,-1.0,0.0,-1.0,0.234375,5.109375,7.890625,10.234375,5.109375,-8.359375,69.0625
0.828125,0.046875,-1.0,0.0,-1.0,0.234375,5.171875,8.046875,10.234375,5.171875,-8.515625,70.390625
0.84375,0.046875,-1.0,0.0,-1.0,0.234375,5.234375,8.203125,10.234375,5.234375,-8.671875,71.71875
0.859375,0.046875,-1.0,0.0,,0.234375,5.296875,,10.234375,5.296875,-8.828125,73.046875
0.875,0.046875,-1.0,0.0,,0.234375,5.359375,,10.234375,5.359375,-8.984375,74.375
0.890625,0.046875,-1.0,0.0,,0.234375,5.421875,,10.234375,5.421875,-9.140625,75.703125
0.90625,0.046875,-1.0,0.0,,0.234375,5.484375,,10.234375,5.484375,-9.296875,77.03125
0.921875,0.046875,-1.0,0.0,,0.234375,5.546875,,10.234375,5.546875,-9.453125,78.359375
0.9375,0.046875,-1.0,0.0,,0.234375,5.609375,,10.234375,5.609375,-9.609375,79.6875
0.953125,0.046875,-1.0,0.0,,0.234375,5.671875,,10.234375,5.671875,-9.765625,81.015625
